issue_type,section,practice_path,problem_code,problem_name,official_url,first_seen_in
duplicate_name,Data Structures,Practice Stacks and Queues,LEJQI01,Chef Builds Stack,https://www.codechef.com/problems/LEJQI01,Data Structures -> Practice Stacks and Queues
duplicate_url,Data Structures,Heaps,TSORT,Simple Sorting,https://www.codechef.com/problems/TSORT,Beginner DSA -> Practice Sorting
duplicate_code,Data Structures,Heaps,TSORT,Simple Sorting,https://www.codechef.com/problems/TSORT,Beginner DSA -> Practice Sorting
duplicate_name,Data Structures,Heaps,TSORT,Simple Sorting,https://www.codechef.com/problems/TSORT,Beginner DSA -> Practice Sorting
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,SEARCHINARR,Search an element in an array,https://www.codechef.com/problems/SEARCHINARR,Beginner DSA -> Practice Arrays
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,SEARCHINARR,Search an element in an array,https://www.codechef.com/problems/SEARCHINARR,Beginner DSA -> Practice Arrays
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,SEARCHINARR,Search an element in an array,https://www.codechef.com/problems/SEARCHINARR,Beginner DSA -> Practice Arrays
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,PREP58,Cycle in a linked list,https://www.codechef.com/problems/PREP58,Data Structures -> Practice Linked Lists
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,PREP58,Cycle in a linked list,https://www.codechef.com/problems/PREP58,Data Structures -> Practice Linked Lists
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,PREP58,Cycle in a linked list,https://www.codechef.com/problems/PREP58,Data Structures -> Practice Linked Lists
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,UWCOI20A,Find maximum in an Array,https://www.codechef.com/problems/UWCOI20A,Beginner DSA -> Practice Arrays
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,UWCOI20A,Find maximum in an Array,https://www.codechef.com/problems/UWCOI20A,Beginner DSA -> Practice Arrays
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,UWCOI20A,Find maximum in an Array,https://www.codechef.com/problems/UWCOI20A,Beginner DSA -> Practice Arrays
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,HEAPEDU3,Insertion and deletion together in a Heap,https://www.codechef.com/problems/HEAPEDU3,Data Structures -> Heaps
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,HEAPEDU3,Insertion and deletion together in a Heap,https://www.codechef.com/problems/HEAPEDU3,Data Structures -> Heaps
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,HEAPEDU3,Insertion and deletion together in a Heap,https://www.codechef.com/problems/HEAPEDU3,Data Structures -> Heaps
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,RKS,Rooks,https://www.codechef.com/problems/RKS,Data Structures -> Heaps
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,RKS,Rooks,https://www.codechef.com/problems/RKS,Data Structures -> Heaps
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,RKS,Rooks,https://www.codechef.com/problems/RKS,Data Structures -> Heaps
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,REMAINDER10,Find Remainder,https://www.codechef.com/problems/REMAINDER10,Data Structures -> Monday Munch - DSA Challenge practice series
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,SINGLENUM,Single number in multiple numbers,https://www.codechef.com/problems/SINGLENUM,Beginner DSA -> Practice Arrays
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,SINGLENUM,Single number in multiple numbers,https://www.codechef.com/problems/SINGLENUM,Beginner DSA -> Practice Arrays
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,SINGLENUM,Single number in multiple numbers,https://www.codechef.com/problems/SINGLENUM,Beginner DSA -> Practice Arrays
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,LINKLP,Count loop length in Linked List,https://www.codechef.com/problems/LINKLP,Data Structures -> Practice Linked Lists
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,LINKLP,Count loop length in Linked List,https://www.codechef.com/problems/LINKLP,Data Structures -> Practice Linked Lists
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,LINKLP,Count loop length in Linked List,https://www.codechef.com/problems/LINKLP,Data Structures -> Practice Linked Lists
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,STRANGELIST,Flatten a Linked List,https://www.codechef.com/problems/STRANGELIST,Data Structures -> Practice Linked Lists
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,STRANGELIST,Flatten a Linked List,https://www.codechef.com/problems/STRANGELIST,Data Structures -> Practice Linked Lists
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,STRANGELIST,Flatten a Linked List,https://www.codechef.com/problems/STRANGELIST,Data Structures -> Practice Linked Lists
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,DISCOUNTT,Take discount or Not,https://www.codechef.com/problems/DISCOUNTT,Beginner DSA -> Practice Arrays
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,DISCOUNTT,Take discount or Not,https://www.codechef.com/problems/DISCOUNTT,Beginner DSA -> Practice Arrays
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,DISCOUNTT,Take discount or Not,https://www.codechef.com/problems/DISCOUNTT,Beginner DSA -> Practice Arrays
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,OPMIN,MIN To MAX,https://www.codechef.com/problems/OPMIN,Beginner DSA -> Practice Arrays
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,OPMIN,MIN To MAX,https://www.codechef.com/problems/OPMIN,Beginner DSA -> Practice Arrays
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,OPMIN,MIN To MAX,https://www.codechef.com/problems/OPMIN,Beginner DSA -> Practice Arrays
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,MATSETZERO,Set Matrix Zeroes,https://www.codechef.com/problems/MATSETZERO,Data Structures -> 2D Array / Matrices
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,MATSETZERO,Set Matrix Zeroes,https://www.codechef.com/problems/MATSETZERO,Data Structures -> 2D Array / Matrices
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,MATSETZERO,Set Matrix Zeroes,https://www.codechef.com/problems/MATSETZERO,Data Structures -> 2D Array / Matrices
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,LARGESECOND,Largest and Second Largest,https://www.codechef.com/problems/LARGESECOND,Beginner DSA -> Practice Arrays
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,LARGESECOND,Largest and Second Largest,https://www.codechef.com/problems/LARGESECOND,Beginner DSA -> Practice Arrays
duplicate_name,Data Structures,Monday Munch - DSA Challenge practice series,LARGESECOND,Largest and Second Largest,https://www.codechef.com/problems/LARGESECOND,Beginner DSA -> Practice Arrays
duplicate_url,Data Structures,Monday Munch - DSA Challenge practice series,KITCHENCOST,Cost of Groceries,https://www.codechef.com/problems/KITCHENCOST,Beginner DSA -> Practice Arrays
duplicate_code,Data Structures,Monday Munch - DSA Challenge practice series,KITCHENCOST,Cost of Groceries,https://www.codechef.com/problems/KITCHENCOST,Beginner DSA -> Practice Arrays
